2023/02/15 08:45:57 PM Namespace(alpha=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=10000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/15 08:47:42 PM > ep = 74 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 75 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 76 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 77 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 78 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 79 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 80 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:42 PM > ep = 81 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.029
2023/02/15 08:47:45 PM > ep = 82 | total steps = 163696 | reward = 0 | length = 2000 | hours = 0.030
2023/02/15 08:47:50 PM > ep = 83 | total steps = 170384 | reward = 0 | length = 2000 | hours = 0.031
2023/02/15 08:47:50 PM > ep = 84 | total steps = 170784 | reward = 0 | length = 2000 | hours = 0.031
2023/02/15 08:47:51 PM > ep = 85 | total steps = 172160 | reward = 0 | length = 2000 | hours = 0.031
2023/02/15 08:47:56 PM > ep = 86 | total steps = 179232 | reward = 0.45865 | length = 1203 | hours = 0.033
2023/02/15 08:47:56 PM > ep = 87 | total steps = 179680 | reward = 0.29259999999999997 | length = 1572 | hours = 0.033
2023/02/15 08:47:58 PM > ep = 88 | total steps = 182400 | reward = 0 | length = 2000 | hours = 0.033
2023/02/15 08:47:58 PM > ep = 89 | total steps = 183216 | reward = 0 | length = 2000 | hours = 0.034
2023/02/15 08:48:03 PM > ep = 90 | total steps = 191120 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 91 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 92 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
