2023/02/16 08:50:26 AM Namespace(alpha=0.25, beta=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=100000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/16 08:55:56 AM > ep = 231 | total steps = 467680 | reward = 0 | length = 2000 | hours = 0.092
2023/02/16 08:55:56 AM > ep = 232 | total steps = 468016 | reward = 0 | length = 2000 | hours = 0.092
2023/02/16 08:55:56 AM > ep = 233 | total steps = 468688 | reward = 0 | length = 2000 | hours = 0.092
2023/02/16 08:55:58 AM > ep = 234 | total steps = 471936 | reward = 0 | length = 2000 | hours = 0.092
2023/02/16 08:56:01 AM > ep = 235 | total steps = 475872 | reward = 0 | length = 2000 | hours = 0.093
2023/02/16 08:56:02 AM > ep = 236 | total steps = 477424 | reward = 0 | length = 2000 | hours = 0.093
2023/02/16 08:56:03 AM > ep = 237 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:03 AM > ep = 238 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:03 AM > ep = 239 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:03 AM > ep = 240 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:03 AM > ep = 241 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:03 AM > ep = 242 | total steps = 479984 | reward = 0 | length = 2000 | hours = 0.094
2023/02/16 08:56:06 AM > ep = 243 | total steps = 482800 | reward = 0 | length = 2000 | hours = 0.094
