"Step","melting_runseed=4 - training/episode/reward","melting_runseed=4 - training/episode/reward__MIN","melting_runseed=4 - training/episode/reward__MAX","melting_runseed=3 - training/episode/reward","melting_runseed=3 - training/episode/reward__MIN","melting_runseed=3 - training/episode/reward__MAX","melting_runseed=2 - training/episode/reward","melting_runseed=2 - training/episode/reward__MIN","melting_runseed=2 - training/episode/reward__MAX","melting_runseed=1 - training/episode/reward","melting_runseed=1 - training/episode/reward__MIN","melting_runseed=1 - training/episode/reward__MAX","melting_runseed=0 - training/episode/reward","melting_runseed=0 - training/episode/reward__MIN","melting_runseed=0 - training/episode/reward__MAX"
"1040384","2539","2539","2539","","","","","","","","","","","",""
"1041280","","","","","","","3406","3406","3406","","","","","",""
"1043200","","","","","","","2392","2392","2392","","","","","",""
"1044672","","","","","","","","","","","","","-5000","-5000","-5000"
"1048640","","","","","","","","","","","","","3084","3084","3084"
"1053440","","","","","","","","","","","","","3539","3539","3539"
"1054464","","","","3523","3523","3523","","","","","","","","",""
"1055424","","","","","","","","","","","","","3413","3413","3413"
"1055680","","","","-5000","-5000","-5000","","","","","","","","",""
"1056768","","","","","","","","","","178","178","178","","",""
"1057472","2535","2535","2535","","","","","","","","","","","",""
"1061632","3411","3411","3411","","","","","","","","","","","",""
"1062720","","","","3394","3394","3394","","","","","","","","",""
"1064576","","","","","","","","","","","","","4586","4586","4586"
"1065856","","","","","","","","","","-5000","-5000","-5000","","",""
"1066560","","","","","","","392","392","392","","","","","",""
"1068416","3305","3305","3305","","","","","","","","","","","",""
"1068864","","","","","","","3023","3023","3023","","","","","",""
"1068992","","","","","","","-5000","-5000","-5000","","","","","",""
"1069632","","","","","","","","","","-5000","-5000","-5000","","",""
"1071872","","","","","","","","","","1203","1203","1203","","",""
"1072704","","","","","","","","","","3238","3238","3238","","",""
"1075456","","","","1735","1735","1735","","","","","","","","",""
"1079616","","","","","","","100","100","100","","","","","",""
"1082432","","","","3019","3019","3019","","","","","","","","",""
"1084032","","","","","","","-5000","-5000","-5000","","","","","",""
"1084736","","","","","","","-5000","-5000","-5000","","","","","",""
"1087424","3554","3554","3554","","","","","","","","","","","",""
"1087808","","","","-5000","-5000","-5000","","","","","","","","",""
"1088960","","","","","","","-5000","-5000","-5000","","","","","",""
"1089280","","","","","","","","","","","","","3107","3107","3107"
"1089472","690","690","690","","","","","","","","","","","",""
"1092992","","","","","","","-5000","-5000","-5000","","","","","",""
"1093440","","","","","","","2912","2912","2912","","","","","",""
"1098496","","","","471","471","471","","","","","","","","",""
"1105024","","","","","","","","","","3918","3918","3918","","",""
"1107008","","","","","","","","","","","","","-5000","-5000","-5000"
"1107584","","","","506","506","506","","","","","","","","",""
"1108480","","","","","","","","","","-5000","-5000","-5000","","",""
"1109440","","","","","","","","","","","","","3378","3378","3378"
"1112064","","","","","","","","","","2459","2459","2459","","",""
"1115840","1887","1887","1887","","","","","","","","","","","",""
"1115968","","","","","","","-5000","-5000","-5000","","","","","",""
"1117504","","","","","","","","","","","","","1049","1049","1049"
"1123008","","","","","","","-5000","-5000","-5000","","","","","",""
"1124544","","","","","","","-5000","-5000","-5000","","","","","",""
"1125184","","","","","","","","","","","","","1556","1556","1556"
"1127104","","","","","","","","","","","","","-5000","-5000","-5000"
"1131200","","","","","","","","","","","","","-5000","-5000","-5000"
"1135488","","","","","","","-5000","-5000","-5000","","","","","",""
"1139968","","","","","","","","","","","","","2180","2180","2180"
"1145856","","","","","","","","","","3704","3704","3704","","",""
"1146432","-5000","-5000","-5000","","","","","","","","","","","",""
"1148288","","","","-5000","-5000","-5000","","","","","","","","",""
"1149376","","","","","","","","","","3206","3206","3206","","",""
"1153088","","","","","","","","","","1982","1982","1982","","",""
"1153152","","","","","","","","","","","","","1981","1981","1981"
"1154624","","","","","","","","","","","","","3636","3636","3636"
"1157632","1911","1911","1911","","","","","","","","","","","",""
"1159808","293","293","293","","","","","","","","","","","",""
"1163072","","","","","","","","","","-5000","-5000","-5000","","",""
"1164480","","","","","","","","","","4069","4069","4069","","",""
"1165888","","","","","","","","","","-5000","-5000","-5000","","",""
"1167872","-5000","-5000","-5000","","","","","","","","","","","",""
"1169152","","","","-5000","-5000","-5000","","","","648","648","648","","",""
"1170688","","","","","","","-5000","-5000","-5000","","","","","",""
"1171712","","","","","","","","","","-5000","-5000","-5000","","",""
"1171904","","","","","","","","","","385","385","385","","",""
"1173952","","","","2665","2665","2665","","","","","","","","",""
"1179776","","","","","","","","","","","","","2687","2687","2687"
"1181440","","","","","","","","","","","","","3000","3000","3000"
"1184256","","","","","","","","","","-5000","-5000","-5000","","",""
"1185728","1089","1089","1089","","","","","","","","","","","",""
"1186688","","","","","","","-5000","-5000","-5000","","","","","",""
"1187968","-5000","-5000","-5000","","","","","","","","","","","",""
"1189312","","","","","","","-5000","-5000","-5000","","","","","",""
"1191232","","","","","","","","","","","","","621","621","621"
"1192448","","","","","","","-5000","-5000","-5000","","","","","",""
"1193280","1004","1004","1004","","","","","","","","","","","",""
"1193920","","","","-5000","-5000","-5000","","","","","","","","",""
"1194880","","","","","","","-5000","-5000","-5000","","","","","",""
"1196928","","","","-5000","-5000","-5000","","","","","","","","",""
"1199168","","","","","","","-5000","-5000","-5000","","","","","",""
"1199360","","","","3257","3257","3257","","","","","","","","",""
"1200640","","","","-5000","-5000","-5000","","","","","","","","",""
"1201216","207","207","207","","","","","","","","","","3215","3215","3215"
"1202304","326","326","326","","","","3651","3651","3651","","","","","",""
"1204096","1192","1192","1192","","","","","","","","","","","",""
"1204928","","","","","","","","","","-5000","-5000","-5000","","",""
"1206976","2236","2236","2236","","","","","","","","","","","",""
"1209792","","","","2625","2625","2625","","","","","","","","",""
"1210944","1078","1078","1078","","","","","","","","","","","",""
"1213824","","","","","","","","","","","","","2565","2565","2565"
"1214848","","","","","","","3445","3445","3445","","","","","",""
"1215424","-5000","-5000","-5000","","","","","","","","","","","",""
"1221312","","","","7","7","7","","","","","","","","",""
"1226816","","","","","","","","","","2544","2544","2544","","",""
"1228608","","","","","","","","","","433","433","433","","",""
"1228736","-5000","-5000","-5000","","","","","","","","","","","",""
"1230464","","","","","","","","","","-5000","-5000","-5000","","",""
"1230656","","","","","","","2856","2856","2856","","","","","",""
"1230720","3517","3517","3517","","","","","","","","","","","",""
"1232512","","","","","","","","","","2055","2055","2055","","",""
"1232576","","","","","","","","","","1129","1129","1129","","",""
"1233024","3822","3822","3822","","","","","","","","","","","",""
"1234432","","","","","","","","","","-5000","-5000","-5000","","",""
"1236736","","","","","","","347","347","347","","","","","",""
"1237824","","","","","","","","","","","","","3700","3700","3700"
"1240448","","","","-5000","-5000","-5000","","","","","","","","",""
"1250240","","","","","","","","","","4069","4069","4069","","",""
"1251392","","","","","","","","","","4673","4673","4673","","",""
"1252352","","","","","","","-5000","-5000","-5000","","","","","",""
"1253952","","","","","","","-5000","-5000","-5000","","","","","",""
"1255040","","","","","","","","","","-5000","-5000","-5000","","",""
"1259968","","","","","","","","","","","","","-5000","-5000","-5000"
"1260096","","","","","","","","","","-5000","-5000","-5000","","",""
"1260544","","","","","","","","","","","","","-5000","-5000","-5000"
"1261312","","","","","","","","","","","","","3310","3310","3310"
"1264192","","","","","","","","","","3310","3310","3310","","",""
"1269056","","","","-5000","-5000","-5000","","","","","","","","",""
"1270784","","","","4121","4121","4121","","","","","","","","",""
"1271616","-5000","-5000","-5000","","","","","","","","","","","",""
"1272512","","","","","","","","","","","","","1751","1751","1751"
"1272896","","","","","","","4093","4093","4093","","","","","",""
"1277248","","","","","","","","","","3238","3238","3238","","",""
"1278656","3331","3331","3331","","","","","","","","","","","",""
"1279168","","","","","","","","","","","","","12","12","12"
"1279936","","","","","","","","","","-5000","-5000","-5000","","",""
"1283968","","","","","","","","","","3206","3206","3206","","",""
"1288384","2857","2857","2857","","","","","","","","","","","",""
"1292672","","","","3562","3562","3562","","","","","","","","",""
"1297984","","","","","","","1384","1384","1384","","","","","",""
"1298496","","","","","","","-5000","-5000","-5000","","","","","",""
"1303744","-5000","-5000","-5000","","","","","","","","","","","",""
"1304512","3031","3031","3031","","","","","","","","","","","",""
"1307776","3647","3647","3647","","","","","","","","","","","",""
"1309248","","","","","","","","","","-5000","-5000","-5000","","",""
"1309888","","","","","","","2398","2398","2398","","","","","",""
"1312512","","","","430","430","430","","","","","","","","",""
"1312896","","","","","","","","","","","","","2377","2377","2377"
"1313984","","","","","","","","","","","","","3954","3954","3954"
"1330496","","","","","","","-5000","-5000","-5000","","","","","",""
"1331968","","","","2928","2928","2928","","","","","","","","",""
"1344320","","","","","","","","","","","","","2029","2029","2029"
"1345088","","","","","","","-5000","-5000","-5000","","","","","",""
"1346304","2002","2002","2002","","","","","","","","","","","",""
"1346432","","","","","","","","","","","","","3737","3737","3737"
"1350592","","","","","","","","","","","","","739","739","739"
"1351360","","","","","","","","","","","","","-5000","-5000","-5000"
"1354944","","","","-5000","-5000","-5000","","","","","","","","",""
"1357120","","","","","","","","","","2622","2622","2622","","",""
"1357376","","","","","","","2333","2333","2333","","","","","",""
"1357696","3655","3655","3655","","","","","","","","","","","",""
"1357824","","","","","","","","","","","","","2250","2250","2250"
"1357888","","","","","","","","","","","","","1949","1949","1949"
"1358144","","","","","","","","","","3476","3476","3476","","",""
"1358720","2489","2489","2489","","","","","","","","","","","",""
"1360576","","","","","","","","","","","","","232","232","232"
"1360960","","","","","","","3328","3328","3328","","","","","",""
"1367808","4664","4664","4664","","","","","","","","","","","",""
"1369344","","","","2301","2301","2301","","","","","","","","",""
"1370048","","","","","","","2379","2379","2379","","","","","",""
"1371008","","","","3766","3766","3766","","","","","","","","",""
"1371584","","","","4543","4543","4543","","","","","","","","",""
"1373120","","","","","","","","","","-5000","-5000","-5000","","",""
"1376640","","","","","","","","","","2657","2657","2657","","",""
"1379904","","","","","","","","","","3438","3438","3438","","",""
"1381632","-5000","-5000","-5000","","","","","","","","","","","",""
"1381696","","","","","","","","","","-5000","-5000","-5000","","",""
"1383872","","","","","","","-5000","-5000","-5000","","","","","",""
"1384448","","","","","","","2965","2965","2965","","","","","",""
"1390976","","","","","","","","","","","","","-5000","-5000","-5000"
"1393792","","","","","","","","","","","","","-5000","-5000","-5000"
"1395456","","","","-5000","-5000","-5000","","","","-5000","-5000","-5000","","",""
"1397568","1214","1214","1214","","","","","","","","","","","",""
"1399040","","","","-5000","-5000","-5000","","","","","","","","",""
"1399616","","","","","","","-5000","-5000","-5000","","","","","",""
"1404480","","","","","","","4678","4678","4678","","","","","",""
"1406144","","","","3227","3227","3227","","","","","","","","",""
"1406912","","","","","","","1888","1888","1888","","","","","",""
"1408576","","","","","","","","","","1703","1703","1703","","",""
"1408704","","","","","","","","","","2988","2988","2988","","",""
"1408960","","","","","","","","","","","","","1754","1754","1754"
"1410624","","","","","","","","","","","","","1496","1496","1496"
"1413184","","","","","","","","","","2981","2981","2981","","",""
