"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"613376","","","","","","","","","","","","","3085","3085","3085"
"614464","","","","398","398","398","","","","","","","","",""
"615040","","","","","","","3413","3413","3413","","","","","",""
"620736","","","","","","","1879","1879","1879","","","","","",""
"622912","","","","","","","","","","","","","266","266","266"
"627200","3031","3031","3031","","","","","","","","","","","",""
"630976","","","","","","","","","","-5000","-5000","-5000","","",""
"631680","","","","","","","1438","1438","1438","","","","","",""
"632320","","","","","","","","","","119","119","119","","",""
"634496","","","","","","","","","","-5000","-5000","-5000","","",""
"635648","","","","","","","3140","3140","3140","","","","","",""
"637120","","","","2791","2791","2791","","","","","","","","",""
"638528","","","","","","","22","22","22","","","","","",""
"639936","-5000","-5000","-5000","","","","","","","-5000","-5000","-5000","","",""
"643200","","","","","","","","","","","","","712","712","712"
"644864","","","","","","","","","","1937","1937","1937","","",""
"659456","","","","","","","3101","3101","3101","","","","","",""
"661824","","","","","","","","","","-5000","-5000","-5000","","",""
"665024","","","","2528","2528","2528","","","","","","","","",""
"665088","","","","","","","4218","4218","4218","","","","","",""
"671744","","","","","","","","","","4466","4466","4466","","",""
"672000","1744","1744","1744","","","","","","","","","","","",""
"676544","","","","","","","1202","1202","1202","","","","","",""
"678720","","","","","","","","","","4394","4394","4394","","",""
"686400","","","","","","","","","","4189","4189","4189","","",""
"695488","","","","","","","3759","3759","3759","","","","","",""
"704448","","","","","","","","","","","","","3992","3992","3992"
"704640","","","","","","","","","","3989","3989","3989","","",""
"707712","2450","2450","2450","","","","","","","","","","","",""
"716352","","","","","","","","","","","","","2300","2300","2300"
"720960","","","","","","","","","","","","","3734","3734","3734"
"721344","","","","","","","","","","1664","1664","1664","","",""
"723264","3698","3698","3698","","","","","","","","","","","",""
