"Step","baseline_runseed=4 - training/episode/reward","baseline_runseed=4 - training/episode/reward__MIN","baseline_runseed=4 - training/episode/reward__MAX","baseline_runseed=3 - training/episode/reward","baseline_runseed=3 - training/episode/reward__MIN","baseline_runseed=3 - training/episode/reward__MAX","baseline_runseed=2 - training/episode/reward","baseline_runseed=2 - training/episode/reward__MIN","baseline_runseed=2 - training/episode/reward__MAX","baseline_runseed=1 - training/episode/reward","baseline_runseed=1 - training/episode/reward__MIN","baseline_runseed=1 - training/episode/reward__MAX","baseline_runseed=0 - training/episode/reward","baseline_runseed=0 - training/episode/reward__MIN","baseline_runseed=0 - training/episode/reward__MAX"
"693312","","","","","","","","","","2640","2640","2640","","",""
"693440","","","","2224","2224","2224","","","","","","","","",""
"695552","","","","","","","-5000","-5000","-5000","","","","","",""
"696128","","","","4112","4112","4112","","","","","","","","",""
"696320","","","","","","","","","","3862","3862","3862","","",""
"700992","","","","","","","-5000","-5000","-5000","","","","","",""
"701568","1958","1958","1958","","","","","","","","","","","",""
"704256","1119","1119","1119","","","","","","","","","","","",""
"704384","-5000","-5000","-5000","","","","","","","","","","","",""
"704512","","","","","","","2288","2288","2288","","","","","",""
"707008","2534","2534","2534","","","","","","","","","","","",""
"708416","387","387","387","","","","","","","","","","","",""
"708544","","","","","","","4030","4030","4030","","","","","",""
"709120","","","","","","","","","","-5000","-5000","-5000","","",""
"709312","","","","","","","","","","-5000","-5000","-5000","","",""
"709632","1958","1958","1958","","","","","","","","","","","",""
"710208","","","","","","","","","","618","618","618","","",""
"710528","-5000","-5000","-5000","","","","","","","","","","","",""
"711808","","","","","","","","","","-5000","-5000","-5000","","",""
"716160","","","","","","","-5000","-5000","-5000","","","","","",""
"716864","","","","","","","3798","3798","3798","","","","","",""
"717632","","","","","","","2912","2912","2912","","","","","",""
"718784","","","","","","","","","","-5000","-5000","-5000","","",""
"718912","","","","-5000","-5000","-5000","","","","","","","","",""
"719296","","","","","","","","","","3074","3074","3074","","",""
"721152","","","","","","","-5000","-5000","-5000","","","","","",""
"721728","","","","","","","","","","-5000","-5000","-5000","","",""
"722112","","","","","","","566","566","566","","","","","",""
"724224","3683","3683","3683","","","","","","","","","","","",""
"724800","","","","","","","-5000","-5000","-5000","","","","","",""
"725696","","","","1455","1455","1455","","","","","","","","",""
"727616","-5000","-5000","-5000","","","","","","","-5000","-5000","-5000","","",""
"728960","","","","","","","","","","-5000","-5000","-5000","","",""
