"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"756416","","","","5000","5000","5000","","","","","","","","",""
"757120","","","","5000","5000","5000","","","","","","","","",""
"761920","","","","","","","","","","","","","1906","1906","1906"
"761984","","","","","","","","","","542","542","542","","",""
"764288","4380","4380","4380","","","","","","","","","","","",""
"765440","","","","5000","5000","5000","","","","","","","","",""
"765824","","","","","","","","","","3271","3271","3271","","",""
"766848","","","","","","","","","","5000","5000","5000","","",""
"771648","","","","","","","","","","","","","5000","5000","5000"
"772736","","","","","","","","","","2075","2075","2075","","",""
"772928","4423","4423","4423","","","","","","","","","","","",""
"773568","3491","3491","3491","","","","","","","","","","","",""
"777280","4111","4111","4111","","","","","","","","","","","",""
"780416","5000","5000","5000","","","","","","","","","","","",""
"793600","5000","5000","5000","","","","","","","","","","","",""
"795008","","","","","","","","","","1171","1171","1171","","",""
"809152","","","","","","","","","","","","","5000","5000","5000"
"819904","666","666","666","","","","","","","","","","","",""
"821184","2832","2832","2832","","","","","","","","","","","",""
"823872","5000","5000","5000","","","","","","","","","","","",""
"825280","1650","1650","1650","","","","","","","","","","","",""
"829440","","","","","","","","","","","","","2961","2961","2961"
"831744","5000","5000","5000","","","","","","","","","","","",""
"832640","5000","5000","5000","","","","","","","","","","","",""
"835200","5000","5000","5000","","","","","","","","","","","",""
"841344","","","","","","","","","","2082","2082","2082","","",""
"841920","3818","3818","3818","","","","","","","","","","","",""
"845120","","","","","","","","","","","","","3206","3206","3206"
"847872","","","","","","","","","","4834","4834","4834","","",""
"849472","5000","5000","5000","","","","","","","","","","","",""
"851648","","","","","","","","","","","","","2170","2170","2170"
"853184","","","","","","","","","","5000","5000","5000","","",""
"854144","5000","5000","5000","","","","","","","","","","","",""
"857984","","","","","","","","","","3407","3407","3407","","",""
"861504","","","","","","","","","","5000","5000","5000","","",""
"865856","","","","","","","","","","5000","5000","5000","","",""
"868800","","","","","","","","","","1198","1198","1198","","",""
"871360","","","","","","","","","","","","","3616","3616","3616"
"872576","","","","","","","","","","5000","5000","5000","","",""
"875968","","","","","","","5000","5000","5000","","","","","",""
"876928","","","","","","","","","","3703","3703","3703","","",""
