"Step","melting_runseed=4 - training/episode/length","melting_runseed=4 - training/episode/length__MIN","melting_runseed=4 - training/episode/length__MAX","melting_runseed=3 - training/episode/length","melting_runseed=3 - training/episode/length__MIN","melting_runseed=3 - training/episode/length__MAX","melting_runseed=2 - training/episode/length","melting_runseed=2 - training/episode/length__MIN","melting_runseed=2 - training/episode/length__MAX","melting_runseed=1 - training/episode/length","melting_runseed=1 - training/episode/length__MIN","melting_runseed=1 - training/episode/length__MAX","melting_runseed=0 - training/episode/length","melting_runseed=0 - training/episode/length__MIN","melting_runseed=0 - training/episode/length__MAX"
"863168","","","","","","","","","","","","","2342","2342","2342"
"865216","","","","","","","","","","","","","1387","1387","1387"
"865600","","","","","","","2012","2012","2012","","","","","",""
"866496","","","","4766","4766","4766","","","","","","","","",""
"867200","","","","5000","5000","5000","","","","","","","","",""
"869312","","","","","","","634","634","634","","","","","",""
"871616","4589","4589","4589","","","","","","","","","","","",""
"876544","","","","","","","","","","5000","5000","5000","","",""
"876608","","","","5000","5000","5000","","","","","","","","",""
"876928","","","","5000","5000","5000","","","","","","","","",""
"878848","5000","5000","5000","","","","","","","","","","","",""
"879168","","","","","","","2068","2068","2068","","","","","",""
"880192","","","","","","","","","","2123","2123","2123","","",""
"884928","","","","","","","","","","5000","5000","5000","","",""
"887744","","","","","","","1611","1611","1611","","","","","",""
"890624","","","","","","","","","","836","836","836","","",""
"891520","","","","","","","","","","5000","5000","5000","","",""
"892992","","","","","","","3954","3954","3954","","","","","",""
"894208","","","","","","","4555","4555","4555","","","","","",""
"896896","","","","","","","","","","","","","4747","4747","4747"
"897088","5000","5000","5000","","","","","","","","","","","",""
"902080","4096","4096","4096","","","","","","","","","","","",""
"903168","466","466","466","","","","","","","","","","","",""
"905152","","","","","","","2297","2297","2297","","","","","",""
"909440","","","","","","","","","","","","","1033","1033","1033"
"909888","","","","","","","5000","5000","5000","","","","","",""
"910464","","","","","","","368","368","368","","","","","",""
"910656","","","","","","","","","","","","","1280","1280","1280"
"911232","","","","","","","4239","4239","4239","","","","","",""
"921472","","","","","","","","","","5000","5000","5000","","",""
"926016","","","","1770","1770","1770","","","","","","","","",""
"927424","","","","","","","","","","4719","4719","4719","","",""
"929728","","","","3968","3968","3968","","","","","","","","",""
"933952","","","","","","","1585","1585","1585","","","","","",""
"935040","","","","","","","","","","738","738","738","","",""
"936064","1537","1537","1537","","","","","","","","","","","",""
"936960","","","","","","","1352","1352","1352","","","","","",""
"938432","","","","","","","1253","1253","1253","","","","","",""
"938944","","","","","","","1715","1715","1715","","","","","",""
"939264","","","","","","","2225","2225","2225","","","","","",""
"940864","406","406","406","","","","","","","","","","","",""
"941120","","","","","","","","","","","","","2443","2443","2443"
"944512","","","","","","","","","","","","","1271","1271","1271"
"948032","","","","","","","","","","","","","1883","1883","1883"
"949056","","","","4334","4334","4334","","","","","","","","",""
"949824","","","","","","","","","","","","","2123","2123","2123"
"955648","","","","1028","1028","1028","","","","","","","","",""
"957056","691","691","691","","","","","","","","","","","",""
"959168","","","","","","","","","","","","","1782","1782","1782"
"959488","","","","","","","","","","","","","941","941","941"
"959808","","","","","","","1044","1044","1044","","","","","",""
"959936","","","","","","","5000","5000","5000","5000","5000","5000","","",""
"960384","5000","5000","5000","","","","","","","","","","","",""
"978496","","","","","","","626","626","626","","","","","",""
"980160","","","","","","","","","","","","","5000","5000","5000"
"992192","1041","1041","1041","","","","","","","","","","","",""
"995264","","","","1145","1145","1145","","","","","","","","",""
"999104","","","","","","","","","","978","978","978","","",""
"1006720","","","","","","","5000","5000","5000","","","","","",""
"1007296","","","","314","314","314","","","","","","","","",""
"1014080","","","","2733","2733","2733","","","","","","","","",""
"1019392","","","","","","","","","","5000","5000","5000","","",""
"1020032","","","","1169","1169","1169","","","","","","","","",""
"1022144","","","","","","","","","","","","","1158","1158","1158"
"1022464","","","","1272","1272","1272","","","","","","","","",""
"1023872","5000","5000","5000","","","","","","","","","","","",""
"1024000","","","","1473","1473","1473","","","","5000","5000","5000","","",""
"1024704","","","","5000","5000","5000","","","","","","","","",""
"1030080","5000","5000","5000","","","","","","","","","","","",""
"1031360","","","","","","","","","","","","","2101","2101","2101"
"1031744","","","","","","","","","","","","","4108","4108","4108"
"1034944","","","","1796","1796","1796","","","","","","","","",""
"1036672","","","","","","","","","","","","","1988","1988","1988"
"1040192","","","","5000","5000","5000","","","","","","","","",""
"1044608","","","","5000","5000","5000","","","","","","","","",""
"1044672","","","","","","","","","","","","","5000","5000","5000"
"1046208","","","","","","","","","","","","","1877","1877","1877"
"1046272","","","","","","","","","","1349","1349","1349","","",""
"1052224","","","","5000","5000","5000","","","","","","","","",""
"1052736","","","","","","","","","","5000","5000","5000","","",""
"1053120","","","","","","","","","","5000","5000","5000","","",""
"1055552","","","","5000","5000","5000","","","","","","","","",""
"1056448","","","","","","","","","","5000","5000","5000","","",""
"1057984","","","","","","","","","","","","","1532","1532","1532"
"1058304","","","","","","","","","","5000","5000","5000","","",""
"1061696","","","","","","","","","","2352","2352","2352","","",""
"1062720","","","","1606","1606","1606","","","","","","","","",""
"1067328","","","","","","","","","","","","","3648","3648","3648"
"1071872","","","","","","","","","","3797","3797","3797","","",""
"1077888","","","","","","","","","","","","","4881","4881","4881"
"1081216","","","","","","","2677","2677","2677","","","","","",""
"1082944","","","","","","","","","","","","","1922","1922","1922"
"1084032","","","","","","","5000","5000","5000","","","","","",""
"1085568","","","","","","","","","","","","","2257","2257","2257"
"1086976","","","","","","","","","","","","","4719","4719","4719"
"1087424","1446","1446","1446","","","","","","","","","","","",""
"1087808","","","","5000","5000","5000","","","","","","","","",""
"1089280","","","","","","","","","","","","","1893","1893","1893"
"1092672","2321","2321","2321","","","","","","","","","","","",""
"1093440","","","","","","","2088","2088","2088","","","","","",""
"1098496","","","","4529","4529","4529","","","","","","","","",""
"1102464","","","","","","","5000","5000","5000","","","","","",""
"1104896","","","","","","","","","","752","752","752","","",""
"1109632","4257","4257","4257","","","","","","","","","","","",""
"1112064","","","","","","","","","","2541","2541","2541","","",""
"1114496","","","","1161","1161","1161","","","","","","","","",""
"1115840","3113","3113","3113","","","","","","","","","","","",""
"1116864","","","","1010","1010","1010","","","","","","","","",""
"1122624","","","","5000","5000","5000","","","","","","","","",""
"1124992","","","","5000","5000","5000","","","","","","","","",""
"1135488","","","","","","","5000","5000","5000","","","","","",""
"1140352","5000","5000","5000","","","","","","","","","","","",""
"1142016","4307","4307","4307","","","","","","","","","","","",""
"1152640","","","","","","","3370","3370","3370","","","","","",""
"1152896","","","","","","","","","","","","","2650","2650","2650"
"1153088","","","","","","","","","","3018","3018","3018","","",""
"1153984","","","","","","","","","","5000","5000","5000","","",""
"1154176","","","","","","","","","","","","","1014","1014","1014"
"1154304","","","","","","","","","","","","","4627","4627","4627"
"1154432","5000","5000","5000","","","","","","","","","","","",""
"1155520","","","","5000","5000","5000","","","","","","","","",""
"1157120","","","","","","","","","","5000","5000","5000","","",""
"1162496","","","","","","","","","","703","703","703","","",""
"1162624","","","","","","","","","","","","","428","428","428"
"1164096","3563","3563","3563","","","","","","","","","","","",""
"1164480","","","","","","","","","","931","931","931","","",""
"1165888","","","","","","","","","","5000","5000","5000","","",""
"1169152","","","","","","","","","","4352","4352","4352","","",""
"1170176","1261","1261","1261","","","","","","","","","","","",""
"1171840","3675","3675","3675","","","","","","","","","","","",""
"1171904","","","","","","","","","","4615","4615","4615","","",""
"1173440","","","","","","","5000","5000","5000","","","","","",""
"1173952","","","","2335","2335","2335","","","","","","","","",""
"1177152","1184","1184","1184","","","","","","","","","","","",""
"1179776","","","","","","","","","","","","","2313","2313","2313"
"1185600","","","","","","","5000","5000","5000","","","","","",""
"1186368","","","","","","","","","","","","","501","501","501"
"1186432","","","","","","","","","","2669","2669","2669","","",""
"1187968","5000","5000","5000","","","","","","","","","","","",""
"1192448","","","","","","","5000","5000","5000","","","","","",""
"1193856","285","285","285","","","","","","","","","","","",""
"1194240","","","","","","","","","","","","","1502","1502","1502"
"1194880","","","","","","","5000","5000","5000","","","","","",""
"1196608","","","","5000","5000","5000","","","","","","","","",""
"1196928","","","","5000","5000","5000","","","","","","","","",""
"1197504","","","","","","","5000","5000","5000","","","","","",""
"1198784","","","","","","","","","","","","","1437","1437","1437"
"1199360","","","","1743","1743","1743","","","","","","","","",""
"1201216","","","","","","","","","","","","","1785","1785","1785"
"1204096","3808","3808","3808","","","","","","","","","","","",""
"1204928","","","","","","","","","","5000","5000","5000","","",""
"1207744","","","","","","","5000","5000","5000","","","","","",""
"1209664","3720","3720","3720","","","","","","","","","","","",""
"1210240","","","","5000","5000","5000","","","","","","","","",""
"1216576","355","355","355","","","","","","","","","","","",""
"1221184","436","436","436","","","","","","","","","","","",""
"1221312","","","","4993","4993","4993","","","","","","","","",""
"1221376","","","","","","","","","","3008","3008","3008","","",""
"1222080","5000","5000","5000","","","","","","","","","","","",""
"1222656","","","","","","","","","","","","","4346","4346","4346"
"1224576","2878","2878","2878","","","","","","","","","","","",""
"1228736","5000","5000","5000","","","","","","","","","","","",""
"1230464","","","","","","","","","","5000","5000","5000","","",""
"1230656","","","","","","","","","","","","","5000","5000","5000"
"1234432","","","","","","","","","","5000","5000","5000","","",""
"1234816","","","","","","","","","","4870","4870","4870","","",""
"1240448","","","","5000","5000","5000","","","","","","","","",""
"1240640","","","","4293","4293","4293","","","","","","","","",""
"1242496","","","","","","","5000","5000","5000","","","","","",""
"1250240","","","","","","","","","","931","931","931","","",""
"1252160","","","","","","","","","","","","","5000","5000","5000"
"1252352","","","","","","","5000","5000","5000","","","","","",""
"1258368","","","","","","","","","","3314","3314","3314","","",""
"1260544","","","","","","","","","","","","","5000","5000","5000"
"1262080","","","","","","","5000","5000","5000","","","","","",""
"1264192","","","","","","","","","","1690","1690","1690","","",""
"1264512","","","","","","","1126","1126","1126","","","","2423","2423","2423"
"1265280","","","","","","","","","","1232","1232","1232","","",""
"1268992","","","","","","","","","","","","","4830","4830","4830"
"1269056","","","","","","","2523","2523","2523","","","","","",""
"1270784","","","","879","879","879","","","","","","","","",""
"1272512","","","","","","","","","","5000","5000","5000","3249","3249","3249"
"1277248","","","","","","","","","","1762","1762","1762","","",""
"1277376","","","","3711","3711","3711","","","","","","","","",""
"1278656","1669","1669","1669","","","","","","","","","","","",""
"1279040","5000","5000","5000","","","","","","","","","","","",""
"1279936","","","","","","","5000","5000","5000","","","","5000","5000","5000"
"1280256","3233","3233","3233","","","","","","","","","","","",""
"1280640","","","","","","","","","","1699","1699","1699","","",""
"1283072","2975","2975","2975","","","","","","","","","","","",""
"1284032","","","","3570","3570","3570","","","","","","","","",""
"1284992","","","","","","","","","","","","","5000","5000","5000"
"1288192","","","","","","","","","","5000","5000","5000","","",""
"1288384","2143","2143","2143","","","","","","","","","","","",""
"1292672","","","","1438","1438","1438","","","","","","","","",""
"1298496","","","","","","","5000","5000","5000","","","","","",""
"1302400","","","","4611","4611","4611","","","","","","","","",""
"1305664","","","","","","","1175","1175","1175","","","","","",""
"1307776","1353","1353","1353","","","","","","","","","","","",""
"1309248","","","","","","","","","","5000","5000","5000","","",""
"1309888","","","","","","","2602","2602","2602","","","","","",""
"1311424","","","","","","","5000","5000","5000","","","","","",""
"1312512","","","","4570","4570","4570","","","","","","","","",""
"1313984","","","","","","","","","","","","","1046","1046","1046"
"1319168","","","","","","","","","","1690","1690","1690","","",""
"1330368","","","","","","","2495","2495","2495","","","","","",""
"1332544","","","","","","","","","","","","","2208","2208","2208"
"1333504","","","","","","","","","","","","","1356","1356","1356"
"1334336","","","","","","","","","","4565","4565","4565","","",""
"1338048","","","","","","","","","","1867","1867","1867","","",""
"1342336","","","","1118","1118","1118","","","","","","","","",""
"1342720","1049","1049","1049","","","","","","","","","","","",""
"1344704","","","","5000","5000","5000","","","","","","","","",""
"1345344","","","","","","","","","","","","","3346","3346","3346"
"1346304","2998","2998","2998","","","","","","","","","","","",""
"1347456","2063","2063","2063","","","","","","","","","","","",""
"1350592","","","","","","","","","","","","","4261","4261","4261"
"1351040","","","","","","","","","","1941","1941","1941","","",""
"1351360","","","","","","","","","","","","","5000","5000","5000"
"1352256","","","","","","","1409","1409","1409","","","","","",""
"1353344","","","","","","","1147","1147","1147","","","","","",""
"1354944","","","","5000","5000","5000","","","","","","","","",""
"1355840","5000","5000","5000","","","","","","","","","","","",""
"1356672","","","","","","","","","","","","","5000","5000","5000"
"1357120","","","","","","","","","","2378","2378","2378","","",""
"1357376","","","","","","","2667","2667","2667","","","","","",""
"1358720","2511","2511","2511","","","","","","","","","","","",""
"1360576","","","","","","","","","","","","","4768","4768","4768"
"1362304","","","","","","","","","","4538","4538","4538","","",""
"1363200","","","","","","","5000","5000","5000","","","","","",""
