"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"609280","-5000","-5000","-5000","","","","","","","","","","","",""
"609408","","","","","","","4355","4355","4355","","","","","",""
"611584","","","","","","","2695","2695","2695","","","","","",""
"614656","","","","","","","","","","","","","-5000","-5000","-5000"
"614976","","","","","","","","","","","","","390","390","390"
"618176","","","","","","","","","","340","340","340","","",""
"621696","","","","","","","","","","","","","4121","4121","4121"
"623872","","","","","","","","","","1440","1440","1440","","",""
"626368","","","","","","","212","212","212","","","","","",""
"628672","","","","","","","","","","3997","3997","3997","","",""
"630848","","","","-5000","-5000","-5000","","","","","","","","",""
"632384","333","333","333","","","","","","","","","","","",""
"634304","","","","","","","","","","","","","-5000","-5000","-5000"
"636096","","","","60","60","60","","","","","","","","",""
"638912","","","","","","","-5000","-5000","-5000","","","","","",""
"639808","","","","","","","","","","","","","4717","4717","4717"
"641408","","","","","","","","","","-5000","-5000","-5000","","",""
"641920","","","","","","","","","","4145","4145","4145","","",""
"642304","","","","","","","-5000","-5000","-5000","","","","","",""
"642496","","","","","","","","","","","","","-5000","-5000","-5000"
"643392","","","","","","","","","","2620","2620","2620","","",""
"644288","","","","-5000","-5000","-5000","","","","","","","","",""
"655104","","","","","","","","","","","","","3459","3459","3459"
"657088","","","","","","","","","","","","","2130","2130","2130"
"657152","-5000","-5000","-5000","","","","","","","","","","","",""
"658560","","","","3232","3232","3232","","","","","","","","",""
"658688","","","","","","","","","","1351","1351","1351","","",""
"658816","","","","","","","976","976","976","","","","","",""
"662912","","","","4202","4202","4202","","","","","","","","",""
"666432","","","","","","","999","999","999","","","","","",""
