"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"903040","","","","","","","","","","889","889","889","","",""
"903168","-5000","-5000","-5000","","","","","","","","","","","",""
"904448","","","","","","","-5000","-5000","-5000","","","","","",""
"906944","","","","","","","","","","828","828","828","","",""
"908288","-5000","-5000","-5000","","","","","","","","","","","",""
"908416","","","","","","","-5000","-5000","-5000","","","","","",""
"909184","","","","","","","-5000","-5000","-5000","","","","","",""
"911424","","","","","","","-5000","-5000","-5000","","","","","",""
"911872","751","751","751","","","","","","","","","","","",""
"913984","","","","-5000","-5000","-5000","","","","","","","","",""
"914112","","","","","","","","","","4048","4048","4048","","",""
"927488","","","","","","","-5000","-5000","-5000","","","","","",""
"929664","1620","1620","1620","","","","","","","","","","","",""
"931456","","","","","","","-5000","-5000","-5000","","","","","",""
"931904","","","","","","","","","","3715","3715","3715","","",""
"932928","849","849","849","","","","","","","","","","","",""
"933632","","","","","","","-5000","-5000","-5000","","","","","",""
"942400","","","","","","","-5000","-5000","-5000","","","","","",""
"944256","","","","","","","-5000","-5000","-5000","","","","","",""
"945408","","","","","","","","","","","","","227","227","227"
"948544","","","","","","","","","","2085","2085","2085","","",""
"950208","","","","","","","-5000","-5000","-5000","","","","","",""
"953408","","","","","","","-5000","-5000","-5000","","","","","",""
"953984","","","","","","","-5000","-5000","-5000","","","","","",""
"955648","","","","","","","-5000","-5000","-5000","","","","","",""
"959936","","","","-5000","-5000","-5000","-5000","-5000","-5000","","","","","",""
"961984","","","","","","","","","","3327","3327","3327","","",""
"962880","","","","","","","","","","","","","644","644","644"
"963968","","","","-5000","-5000","-5000","","","","","","","","",""
"966336","","","","","","","","","","","","","-5000","-5000","-5000"
"971072","-5000","-5000","-5000","","","","","","","","","","","",""
"978432","","","","","","","","","","881","881","881","","",""
"980224","","","","","","","","","","3794","3794","3794","","",""
"980480","","","","","","","","","","","","","4280","4280","4280"
"986048","","","","","","","-5000","-5000","-5000","","","","","",""
"988928","","","","-5000","-5000","-5000","","","","","","","","",""
"992192","","","","","","","","","","3305","3305","3305","","",""
